,latitude,longitude
9426,23.75,94.25
9427,23.75,94.5
9428,23.75,94.75
9429,23.75,95.0
9430,23.75,95.25
9431,23.75,95.5
9432,23.75,95.75
9433,23.75,96.0
9434,23.75,96.25
9435,23.75,96.5
9436,23.75,96.75
9437,23.75,97.0
9438,23.75,97.25
9439,23.75,97.5
9440,23.75,97.75
9441,23.75,98.0
9543,24.0,89.75
9544,24.0,90.0
9545,24.0,90.25
9546,24.0,90.5
9547,24.0,90.75
9548,24.0,91.0
9549,24.0,91.25
9550,24.0,91.5
9551,24.0,91.75
9552,24.0,92.0
9553,24.0,92.25
9554,24.0,92.5
9555,24.0,92.75
9556,24.0,93.0
9557,24.0,93.25
9558,24.0,93.5
9559,24.0,93.75
9560,24.0,94.0
9561,24.0,94.25
9562,24.0,94.5
9563,24.0,94.75
9564,24.0,95.0
9565,24.0,95.25
9566,24.0,95.5
9567,24.0,95.75
9568,24.0,96.0
9569,24.0,96.25
9570,24.0,96.5
9571,24.0,96.75
9572,24.0,97.0
9573,24.0,97.25
9574,24.0,97.5
9575,24.0,97.75
9576,24.0,98.0
9678,24.25,89.75
9679,24.25,90.0
9680,24.25,90.25
9681,24.25,90.5
9682,24.25,90.75
9683,24.25,91.0
9684,24.25,91.25
9685,24.25,91.5
9686,24.25,91.75
9687,24.25,92.0
9688,24.25,92.25
9689,24.25,92.5
9690,24.25,92.75
9691,24.25,93.0
9692,24.25,93.25
9693,24.25,93.5
9694,24.25,93.75
9695,24.25,94.0
9696,24.25,94.25
9697,24.25,94.5
9698,24.25,94.75
9699,24.25,95.0
9700,24.25,95.25
9701,24.25,95.5
9702,24.25,95.75
9703,24.25,96.0
9704,24.25,96.25
9705,24.25,96.5
9706,24.25,96.75
9707,24.25,97.0
9708,24.25,97.25
9709,24.25,97.5
9710,24.25,97.75
9711,24.25,98.0
9813,24.5,89.75
9814,24.5,90.0
9815,24.5,90.25
9816,24.5,90.5
9817,24.5,90.75
9818,24.5,91.0
9819,24.5,91.25
9820,24.5,91.5
9821,24.5,91.75
9822,24.5,92.0
9823,24.5,92.25
9824,24.5,92.5
9825,24.5,92.75
9826,24.5,93.0
9827,24.5,93.25
9828,24.5,93.5
9829,24.5,93.75
9830,24.5,94.0
9831,24.5,94.25
9832,24.5,94.5
9833,24.5,94.75
9834,24.5,95.0
9835,24.5,95.25
9836,24.5,95.5
9837,24.5,95.75
9838,24.5,96.0
9839,24.5,96.25
9840,24.5,96.5
9841,24.5,96.75
9842,24.5,97.0
9843,24.5,97.25
9844,24.5,97.5
9845,24.5,97.75
9846,24.5,98.0
9948,24.75,89.75
9949,24.75,90.0
9950,24.75,90.25
9951,24.75,90.5
9952,24.75,90.75
9953,24.75,91.0
9954,24.75,91.25
9955,24.75,91.5
9956,24.75,91.75
9957,24.75,92.0
9958,24.75,92.25
9959,24.75,92.5
9960,24.75,92.75
9961,24.75,93.0
9962,24.75,93.25
9963,24.75,93.5
9964,24.75,93.75
9965,24.75,94.0
9966,24.75,94.25
9967,24.75,94.5
9968,24.75,94.75
9969,24.75,95.0
9970,24.75,95.25
9971,24.75,95.5
9972,24.75,95.75
9973,24.75,96.0
9974,24.75,96.25
9975,24.75,96.5
9976,24.75,96.75
9977,24.75,97.0
9978,24.75,97.25
9979,24.75,97.5
9980,24.75,97.75
9981,24.75,98.0
10083,25.0,89.75
10084,25.0,90.0
10085,25.0,90.25
10086,25.0,90.5
10087,25.0,90.75
10088,25.0,91.0
10089,25.0,91.25
10090,25.0,91.5
10091,25.0,91.75
10092,25.0,92.0
10093,25.0,92.25
10094,25.0,92.5
10095,25.0,92.75
10096,25.0,93.0
10097,25.0,93.25
10098,25.0,93.5
10099,25.0,93.75
10100,25.0,94.0
10101,25.0,94.25
10102,25.0,94.5
10103,25.0,94.75
