,latitude,longitude
11443,27.5,92.25
11444,27.5,92.5
11445,27.5,92.75
11446,27.5,93.0
11447,27.5,93.25
11448,27.5,93.5
11449,27.5,93.75
11450,27.5,94.0
11451,27.5,94.25
11452,27.5,94.5
11453,27.5,94.75
11454,27.5,95.0
11455,27.5,95.25
11456,27.5,95.5
11457,27.5,95.75
11458,27.5,96.0
11459,27.5,96.25
11460,27.5,96.5
11461,27.5,96.75
11462,27.5,97.0
11575,27.75,91.5
11576,27.75,91.75
11577,27.75,92.0
11578,27.75,92.25
11579,27.75,92.5
11580,27.75,92.75
11581,27.75,93.0
11582,27.75,93.25
11583,27.75,93.5
11584,27.75,93.75
11585,27.75,94.0
11586,27.75,94.25
11587,27.75,94.5
11588,27.75,94.75
11589,27.75,95.0
11590,27.75,95.25
11591,27.75,95.5
11592,27.75,95.75
11593,27.75,96.0
11594,27.75,96.25
11595,27.75,96.5
11596,27.75,96.75
11597,27.75,97.0
11710,28.0,91.5
11711,28.0,91.75
11712,28.0,92.0
11713,28.0,92.25
11714,28.0,92.5
11715,28.0,92.75
11716,28.0,93.0
11717,28.0,93.25
11718,28.0,93.5
11719,28.0,93.75
11720,28.0,94.0
11721,28.0,94.25
11722,28.0,94.5
11723,28.0,94.75
11724,28.0,95.0
11725,28.0,95.25
11726,28.0,95.5
11727,28.0,95.75
11728,28.0,96.0
11729,28.0,96.25
11730,28.0,96.5
11731,28.0,96.75
11732,28.0,97.0
11733,28.0,97.25
11849,28.25,92.5
11850,28.25,92.75
11851,28.25,93.0
11852,28.25,93.25
11853,28.25,93.5
11854,28.25,93.75
11855,28.25,94.0
11856,28.25,94.25
11857,28.25,94.5
11858,28.25,94.75
11859,28.25,95.0
11860,28.25,95.25
11861,28.25,95.5
11862,28.25,95.75
11863,28.25,96.0
11864,28.25,96.25
11865,28.25,96.5
11866,28.25,96.75
11867,28.25,97.0
11868,28.25,97.25
11986,28.5,93.0
11987,28.5,93.25
11988,28.5,93.5
11989,28.5,93.75
11990,28.5,94.0
11991,28.5,94.25
11992,28.5,94.5
11993,28.5,94.75
11994,28.5,95.0
11995,28.5,95.25
11996,28.5,95.5
11997,28.5,95.75
11998,28.5,96.0
11999,28.5,96.25
12000,28.5,96.5
12001,28.5,96.75
12002,28.5,97.0
12122,28.75,93.25
12123,28.75,93.5
12124,28.75,93.75
12125,28.75,94.0
12126,28.75,94.25
12127,28.75,94.5
12128,28.75,94.75
12129,28.75,95.0
12130,28.75,95.25
12131,28.75,95.5
12132,28.75,95.75
12133,28.75,96.0
12134,28.75,96.25
12135,28.75,96.5
12260,29.0,94.0
12261,29.0,94.25
12262,29.0,94.5
12263,29.0,94.75
12264,29.0,95.0
12265,29.0,95.25
12266,29.0,95.5
12267,29.0,95.75
12268,29.0,96.0
12269,29.0,96.25
12270,29.0,96.5
12395,29.25,94.0
12396,29.25,94.25
12397,29.25,94.5
12398,29.25,94.75
12399,29.25,95.0
12400,29.25,95.25
12401,29.25,95.5
12402,29.25,95.75
12403,29.25,96.0
12404,29.25,96.25
12405,29.25,96.5
12532,29.5,94.5
12536,29.5,95.5
12537,29.5,95.75
12538,29.5,96.0
12539,29.5,96.25
